# 2theta(deg)  I(arb.units)
7.0287  1.442081e+03
7.2403  1.324471e+03
7.4518  1.211071e+03
7.6635  1.102130e+03
7.8751  9.978618e+02
8.0868  8.984491e+02
8.2985  8.040399e+02
8.5102  7.147494e+02
8.7219  6.306603e+02
8.9337  5.518236e+02
9.1455  4.782595e+02
9.3574  4.099581e+02
9.5692  3.468814e+02
9.7811  2.889641e+02
9.9931  2.361156e+02
10.2050  1.882216e+02
10.4171  1.451458e+02
10.6291  1.067323e+02
10.8412  7.280676e+01
11.0533  4.317937e+01
11.2655  1.764627e+01
11.4776  -4.008054e+00
11.6899  -2.200877e+01
11.9022  -3.658859e+01
12.1145  -4.798576e+01
12.3268  -5.644205e+01
12.5392  -6.220085e+01
12.7517  -6.550535e+01
12.9642  -6.659675e+01
13.1767  -6.571266e+01
13.3893  -6.308555e+01
13.6019  -5.894132e+01
13.8146  -5.349806e+01
14.0273  -4.696486e+01
14.2401  -3.954083e+01
14.4529  -3.141418e+01
14.6657  -2.276153e+01
14.8787  -1.374727e+01
15.0916  -4.523150e+00
15.3046  4.772096e+00
15.5177  1.401291e+01
15.7309  2.308698e+01
15.9440  3.189520e+01
16.1573  4.035150e+01
16.3706  4.838256e+01
16.5839  5.592745e+01
16.7973  6.293719e+01
17.0108  6.937416e+01
17.2243  7.521156e+01
17.4379  8.043270e+01
17.6516  8.503026e+01
17.8653  8.900560e+01
18.0791  9.236791e+01
18.2929  9.513340e+01
18.5068  9.732453e+01
18.7208  9.896912e+01
18.9348  1.000996e+02
19.1489  1.007520e+02
19.3631  1.009656e+02
19.5773  1.007816e+02
19.7916  1.002430e+02
20.0060  9.939319e+01
20.2204  9.827609e+01
20.4350  9.693498e+01
20.6495  9.541221e+01
20.8642  9.374867e+01
21.0789  9.198331e+01
21.2938  9.015282e+01
21.5086  8.829127e+01
21.7236  8.642987e+01
21.9386  8.459676e+01
22.1538  8.281685e+01
22.3690  8.111173e+01
22.5842  7.949962e+01
22.7996  7.799536e+01
23.0150  7.661049e+01
23.2306  7.535330e+01
23.4462  7.422895e+01
23.6619  7.323968e+01
23.8776  7.238494e+01
24.0935  7.166164e+01
24.3095  7.106434e+01
24.5255  7.058557e+01
24.7416  7.021601e+01
24.9578  6.994483e+01
25.1741  6.975992e+01
25.3905  6.964819e+01
25.6070  6.959582e+01
25.8236  6.958854e+01
26.0403  6.961189e+01
26.2571  6.965146e+01
26.4739  6.969308e+01
26.6909  6.972312e+01
26.9079  6.972856e+01
27.1251  6.969729e+01
27.3424  6.961817e+01
27.5597  6.948118e+01
27.7772  6.927755e+01
27.9947  6.899981e+01
28.2124  6.864187e+01
28.4302  6.819905e+01
28.6480  6.766811e+01
28.8660  6.704719e+01
29.0841  6.633587e+01
29.3023  6.553506e+01
29.5206  6.464696e+01
29.7390  6.367498e+01
29.9575  6.262368e+01
30.1762  6.149861e+01
30.3949  6.030627e+01
30.6138  5.905394e+01
30.8328  5.774956e+01
31.0518  5.640164e+01
31.2711  5.501908e+01
31.4904  5.361109e+01
31.7098  5.218702e+01
31.9294  5.075625e+01
32.1491  4.932807e+01
32.3689  4.791157e+01
32.5888  4.651553e+01
32.8088  4.514831e+01
33.0290  4.381776e+01
33.2493  4.253117e+01
33.4697  4.129516e+01
33.6903  4.011566e+01
33.9110  3.899782e+01
34.1318  3.794603e+01
34.3527  3.696383e+01
34.5738  3.605396e+01
34.7950  3.521833e+01
35.0163  3.445801e+01
35.2378  3.377329e+01
35.4594  3.316369e+01
35.6812  3.262798e+01
35.9031  3.216424e+01
36.1251  3.176993e+01
36.3473  3.144191e+01
36.5696  3.117653e+01
36.7920  3.096967e+01
37.0146  3.081684e+01
37.2374  3.071323e+01
37.4602  3.065379e+01
37.6833  3.063330e+01
37.9065  3.064642e+01
38.1298  3.068780e+01
38.3533  3.075211e+01
38.5769  3.083412e+01
38.8007  3.092874e+01
39.0246  3.103111e+01
39.2487  3.113662e+01
39.4730  3.124095e+01
